Energy(GeV),dN/dE*10^-4,dN/dE,E*dN/dE
7.446865864702971,2.555097090352502e-06,0.025550970903525018,0.04488530276640024
9.538399238314735,1.6967959918688967e-06,0.016967959918688966,0.03817933381719065
11.84512684125444,1.480370323566661e-06,0.01480370323566661,0.041365026446927945
15.171959706685165,1.2915496650148774e-06,0.012915496650148772,0.046224903381141956
19.433169811198148,9.830884473994767e-07,0.009830884473994767,0.045067083996722754
24.891187177649897,6.528521141127821e-07,0.006528521141127821,0.03833395650761346
31.882148158648913,4.3354785017460054e-07,0.004335478501746005,0.03260677397353822
40.83659666191982,3.300034791125275e-07,0.0033000347911252754,0.03179005501452483
52.3059995402453,1.9119717955004943e-07,0.0019119717955004944,0.023591535432794353
69.10209531794115,1.1077568505097043e-07,0.0011077568505097042,0.018057552285944092
88.51017130182889,5.5994858066092784e-08,0.0005599485806609279,0.011691346977167562
124.39656355081672,2.830426305555396e-08,0.0002830426305555396,0.008305837982854645
185.99406072433072,8.289312615337137e-09,8.289312615337137e-05,0.0036369791816019945
204.08557677855228,5.504789807854945e-09,5.504789807854945e-05,0.0026501855044674632
314.7318915713827,1.847849797422287e-09,1.8478497974222867e-05,0.0013719258490151578
428.8626335482619,1.070605893154232e-09,1.0706058931542321e-05,0.0010831062405230257
500.6185480419776,5.411695265464627e-10,5.411695265464627e-06,0.0006390921600367029
703.5940176169865,1.8165997883753213e-10,1.8165997883753213e-06,0.0003015120112883967
772.0321301878924,1.8165997883753213e-10,1.8165997883753213e-06,0.00033083987999302873
873.7483277008978,1.206372646810021e-10,1.2063726468100209e-06,0.0002486514861834904
1228.0090273875533,5.3201750963247406e-11,5.32017509632474e-07,0.00015411705645958175
1306.4026439427787,5.3201750963247406e-11,5.32017509632474e-07,0.00016395557813105111
1306.4026439427787,3.0823992397451186e-11,3.0823992397451183e-07,9.49924655172055e-05
2014.677282795501,1.78587826550012e-11,1.78587826550012e-07,8.487515132394917e-05
2280.1135313774284,9.027251779484541e-12,9.027251779484542e-08,4.855514415094712e-05
2425.671374923132,9.027251779484541e-12,9.027251779484542e-08,5.165480650477433e-05
3106.947595851656,4.5630923599031475e-12,4.563092359903147e-08,3.3443860846846496e-05
3979.5676624473854,1.5317404637020733e-12,1.5317404637020734e-08,1.4379517003287331e-05
5097.272577478355,1.5317404637020733e-12,1.5317404637020734e-08,1.8418160944941418e-05
7860.79185745426,3.414548873833587e-13,3.4145488738335873e-09,6.331736755273286e-06
7860.79185745426,3.913745601980376e-13,3.9137456019803766e-09,7.2574175372767135e-06
12122.57098026098,1.3137675134229728e-13,1.3137675134229726e-09,3.7569591636893527e-06
15054.244146806324,6.640827850634797e-14,6.640827850634796e-10,2.358329033239434e-06
17573.07178825481,3.356803550946693e-14,3.3568035509466927e-10,1.391543635832474e-06
25474.204488304742,3.356803550946693e-14,3.3568035509466927e-10,2.0172037968505856e-06
27952.063069777178,1.6967959918688898e-14,1.6967959918688898e-10,1.1188367357631582e-06
48785.78402364723,2.8791166380223292e-15,2.8791166380223294e-11,3.3134144995623314e-07
62487.802738247054,4.969312358864732e-15,4.9693123588647326e-11,7.325120451062429e-07
77599.59831547152,1.2697075549188058e-15,1.269707554918806e-11,2.3242690395034184e-07
