0,14,14

10,15,5

20,31,11

30,49,19

40,61,21

50,76,26

60,95,35

70,108,38

80,122,42

90,139,49

100,152,52

110,169,59

120,184,64

130,198,68

140,215,75

150,230,80

160,244,84

170,258,88

180,271,91

190,287,97

200,303,103

210,319,109

220,335,115

230,350,120

240,364,124

250,377,127

260,397,137

270,409,139

280,416,136

290,439,149

300,455,155

310,470,160

320,482,162

330,500,170

340,515,175

350,527,177

360,545,185

370,561,191

380,575,195

390,590,200

400,607,207

410,620,210

420,634,214

430,649,219

440,665,225

450,678,228

460,695,235

470,710,240

480,727,247

490,739,249

500,755,255

510,772,262

520,788,268

530,801,271

540,815,275

550,830,280

560,844,284

570,862,292

580,877,297

590,890,300

600,902,302

610,920,310

620,935,315

630,950,320

640,965,325

650,979,329

660,993,333

670,1009,339

680,1023,343

690,1038,348

700,1058,358

710,1071,361

720,1084,364

730,1099,369

740,1114,374

750,1127,377

760,1146,386

770,1158,388

780,1177,397

790,1190,400

800,1204,404

810,1220,410

820,1239,419

830,1249,419

840,1266,426

850,1282,432

860,1298,438

870,1314,444

880,1326,446

890,1335,445

900,1358,458

910,1374,464

920,1381,461

930,1400,470

940,1415,475

950,1431,481

960,1445,485

970,1461,491

980,1475,495

990,1492,502

1000,1510,510

1010,1523,513

1020,1541,521

1030,1554,524

1040,1571,531

1050,1586,536

1060,1602,542

1070,1615,545

1080,1629,549

1090,1649,559

1100,1662,562

1110,1680,570

1120,1690,570

1130,1709,579

1140,1721,581

1150,1736,586

1160,1751,591

1170,1769,599

1180,1781,601

1190,1795,605

1200,1810,610

1210,1832,622

1220,1841,621

1230,1857,627

1240,1871,631

1250,1885,635

1260,1903,643

1270,1916,646

1280,1932,652

1290,1945,655

1300,1967,667

1310,1978,668

1320,1993,673

1330,2004,674

1340,2027,687

1350,2039,689

1360,2053,693

1370,2066,696

1380,2083,703

1390,2098,708

1400,2113,713

1410,2124,714

1420,2141,721

1430,2160,730

1440,2175,735

1450,2195,745

1460,2206,746

1470,2216,746

1480,2234,754

1490,2254,764

1500,2262,762

1510,2280,770

1520,2294,774

1530,2314,784

1540,2322,782

1550,2339,789

1560,2351,791

1570,2365,795

1580,2387,807

1590,2398,808

1600,2414,814

1610,2429,819

1620,2451,831

1630,2459,829

1640,2478,838

1650,2493,843

1660,2506,846

1670,2521,851

1680,2540,860

1690,2550,860

1700,2568,868

1710,2586,876

1720,2596,876

1730,2609,879

1740,2626,886

1750,2642,892

1760,2659,899

1770,2673,903

1780,2684,904

1790,2704,914

1800,2724,924

1810,2736,926

1820,2746,926

1830,2772,942

1840,2779,939

1850,2790,940

1860,2809,949

1870,2819,949

1880,2839,959

1890,2860,970

1900,2868,968

1910,2884,974

1920,2897,977

1930,2914,984

1940,2932,992

1950,2945,995

1960,2957,997

1970,2969,999

1980,2988,1008

1990,3003,1013

2000,3018,1018

2010,3037,1027

2020,3054,1034

2030,3069,1039

2040,3078,1038

2050,3098,1048

2060,3117,1057

2070,3128,1058

2080,3144,1064

2090,3158,1068

2100,3179,1079

2110,3195,1085

2120,3202,1082

2130,3218,1088

2140,3233,1093

2150,3255,1105

2160,3268,1108

2170,3279,1109

2180,3290,1110

2190,3313,1123

2200,3322,1122

2210,3342,1132

2220,3354,1134

2230,3372,1142

2240,3390,1150

2250,3400,1150

2260,3413,1153

2270,3429,1159

2280,3447,1167

2290,3462,1172

2300,3477,1177

2310,3489,1179

2320,3503,1183

2330,3518,1188

2340,3533,1193

2350,3555,1205

2360,3569,1209

2370,3578,1208

2380,3599,1219

2390,3614,1224

2400,3627,1227

2410,3640,1230

2420,3657,1237

2430,3675,1245

2440,3691,1251

2450,3702,1252

2460,3723,1263

2470,3729,1259

2480,3751,1271

2490,3762,1272

2500,3776,1276

2510,3792,1282

2520,3813,1293

2530,3832,1302

2540,3847,1307

2550,3853,1303

2560,3871,1311

2570,3886,1316

2580,3898,1318

2590,3923,1333

2600,3931,1331

2610,3955,1345

2620,3964,1344

2630,3976,1346

2640,3991,1351

2650,4016,1366

2660,4023,1363

2670,4037,1367

2680,4053,1373

2690,4073,1383
